id,nome,tavolo,nomeTavolo
0001,Marcantonio Bixio,11,Tenerezza
0002,Viridiana Pareto,12,Felicità
0003,Giovanni Ortese,5,Gioia
0004,Marisa Boccioni,14,Abbraccio
0005,Ludovica Natta,14,Abbraccio
0006,Armando Donati,1,Amore
0007,Romeo Cesaroni,5,Gioia
0008,Virgilio Baroffio,5,Gioia
0009,Claudia Rossi,1,Amore
0010,Dante Pininfarina,12,Felicità
0011,Dario Savorgnan,8,Complicità
0012,Jolanda Papafava,14,Abbraccio
0013,Rocco Gianvecchio,11,Tenerezza
0014,Gianluigi Crisafulli,1,Amore
0015,Dionigi Belletini,12,Felicità
0016,Gianluca Valentino,1,Amore
0017,Severino Gadda,1,Amore
0018,Nicola Monicelli,5,Gioia
0019,Gioachino Zabarella,9,Gratitudine
0020,Michelangelo Polani,6,Serenità
0021,Milena Tresoldi,5,Gioia
0022,Stella Tornatore,10,Speranza
0023,Aria Borromeo,12,Felicità
0024,Camilla Casalodi,4,Rispetto
0025,Gianluigi Condoleo,1,Amore
0026,Lamberto Vento,15,Dolcezza
0027,Biagio Campano,3,Fiducia
0028,Valentina Fuseli,10,Speranza
0029,Adelasia Carnera,2,Pazienza
0030,Giorgia Polizzi,5,Gioia
0031,Giampaolo Venturi,13,Sorriso
0032,Giulia Fermi,13,Sorriso
0033,Rodolfo Faggiani,7,Armonia
0034,Pasqual Maspero,3,Fiducia
0035,Aldo Magrassi,4,Rispetto
0036,Priscilla Armellini,4,Rispetto
0037,Nino Morricone,12,Felicità
0038,Umberto Alfonsi,14,Abbraccio
0039,Dina Fittipaldi,4,Rispetto
0040,Greco Lopresti,9,Gratitudine
0041,Livia Borrani,7,Armonia
0042,Severino Dalla,9,Gratitudine
0043,Lara Alighieri,12,Felicità
0044,Rosaria Gagliano,3,Fiducia
0045,Giacinto Tassoni,10,Speranza
0046,Giuliana Navone,13,Sorriso
0047,Alberto Merisi,8,Complicità
0048,Maurilio Ferraris,3,Fiducia
0049,Ansaldo Donarelli,10,Speranza
0050,Giuliana Bramante,4,Rispetto
0051,Virgilio Federico,10,Speranza
0052,Federica Greco,10,Speranza
0053,Laureano Bacosi,15,Dolcezza
0054,Costanzo Renault,10,Speranza
0055,Griselda Salata,7,Armonia
0056,Roberto Schicchi,6,Serenità
0057,Mauro Cardano,15,Dolcezza
0058,Rosario Mastandrea,4,Rispetto
0059,Elisa Interminelli,15,Dolcezza
0060,Flora Alfonsi,9,Gratitudine
0061,Rolando Venier,10,Speranza
0062,Adriana Raurica,5,Gioia
0063,Alberico Liguori,11,Tenerezza
0064,Sonia Zichichi,8,Complicità
0065,Pasqual Tonisto,5,Gioia
0066,Fiorenzo Varano,4,Rispetto
0067,Pierpaolo Segrè,6,Serenità
0068,Marcella Cundari,8,Complicità
0069,Ermenegildo Sinisi,1,Amore
0070,Emilio Romiti,9,Gratitudine
0071,Alberto Amato,5,Gioia
0072,Ernesto Pastine,4,Rispetto
0073,Luisa Lussu,7,Armonia
0074,Raffaello Moschino,12,Felicità
0075,Costanzo Ferraris,3,Fiducia
0076,Alina Opizzi,14,Abbraccio
0077,Rosaria Ammaniti,2,Pazienza
0078,Gian Gotti,6,Serenità
0079,Licia Boitani,7,Armonia
0080,Pierina Farnese,7,Armonia
0081,Marco Giolitti,10,Speranza
0082,Gabriella Bodoni,13,Sorriso
0083,Calcedonio Curatoli,6,Serenità
0084,Gian Bignami,2,Pazienza
0085,Zaira Trentini,7,Armonia
0086,Edoardo Catalano,12,Felicità
0087,Gino Rapisardi,4,Rispetto
0088,Simonetta Bernardi,1,Amore
0089,Bernardo Perozzo,7,Armonia
0090,Azeglio Gabbana,6,Serenità
0091,Venancio Vitturi,12,Felicità
0092,Telemaco Scarpa,3,Fiducia
0093,Paola Migliaccio,4,Rispetto
0094,Stefani Zecchini,6,Serenità
0095,Pietro Rizzoli,15,Dolcezza
0096,Sandra Jilani,4,Rispetto
0097,Francesco Polizzi,2,Pazienza
0098,Annamaria Ferretti,14,Abbraccio
0099,Camilla Brunelleschi,3,Fiducia
0100,Torquato Comeriato,13,Sorriso
0101,Cristina Rossi,4,Rispetto
0102,Salvatore Sgarbi,11,Tenerezza
0103,Enzio Bonanno,5,Gioia
0104,Melissa Mannoia,8,Complicità
0105,Camillo Cortese,12,Felicità
0106,Griselda Monaco,3,Fiducia
0107,Livio Giannone,13,Sorriso
0108,Veronica Barracco,6,Serenità
0109,Graziano Vendetti,5,Gioia
0110,Ettore Rossi,7,Armonia
